Algorithm Runtime Quality Section
SeqDomiSimp 0.0459351 2.45521e+06 1
SeqDomiSimp 0.044664 2.45521e+06 1
SeqDomiSimp 0.0445102 2.45521e+06 1
SeqDomiSimp 0.0447217 2.45521e+06 1
SeqDomiSimp 0.0447051 2.45521e+06 1
SeqDomiSimp 0.105728 4.72997e+06 2
SeqDomiSimp 0.104183 4.72997e+06 2
SeqDomiSimp 0.103891 4.72997e+06 2
SeqDomiSimp 0.104214 4.72997e+06 2
SeqDomiSimp 0.104055 4.72997e+06 2
SeqDomiSimp 0.428503 1.37417e+07 3
SeqDomiSimp 0.423998 1.37417e+07 3
SeqDomiSimp 0.423963 1.37417e+07 3
SeqDomiSimp 0.423445 1.37417e+07 3
SeqDomiSimp 0.423835 1.37417e+07 3
SeqDomiSimp 5.68795 3.39835e+07 4
SeqDomiSimp 5.66647 3.39835e+07 4
SeqDomiSimp 5.72676 3.39835e+07 4
SeqDomiSimp 5.6692 3.39835e+07 4
SeqDomiSimp 5.66533 3.39835e+07 4
SeqDomiSimp 14.1252 6.65833e+07 5
SeqDomiSimp 23.9246 6.65833e+07 5
SeqDomiSimp 15.8642 6.65833e+07 5
SeqDomiSimp 15.1053 6.65833e+07 5
SeqDomiSimp 15.1136 6.65833e+07 5
SeqDomiSimp 34.3731 1.30395e+08 6
SeqDomiSimp 34.301 1.30395e+08 6
SeqDomiSimp 34.4609 1.30395e+08 6
SeqDomiSimp 34.3403 1.30395e+08 6
SeqDomiSimp 34.4278 1.30395e+08 6
