Algorithm Runtime Quality Section
SeqSuitorSimp 0.0165523 2.45077e+06 1
SeqSuitorSimp 0.0159199 2.45077e+06 1
SeqSuitorSimp 0.0158336 2.45077e+06 1
SeqSuitorSimp 0.0157004 2.45077e+06 1
SeqSuitorSimp 0.0157096 2.45077e+06 1
SeqSuitorSimp 0.0375513 4.72612e+06 2
SeqSuitorSimp 0.0364068 4.72612e+06 2
SeqSuitorSimp 0.0364219 4.72612e+06 2
SeqSuitorSimp 0.0365741 4.72612e+06 2
SeqSuitorSimp 0.0363663 4.72612e+06 2
SeqSuitorSimp 0.142719 1.37289e+07 3
SeqSuitorSimp 0.141402 1.37289e+07 3
SeqSuitorSimp 0.141291 1.37289e+07 3
SeqSuitorSimp 0.1413 1.37289e+07 3
SeqSuitorSimp 0.141112 1.37289e+07 3
SeqSuitorSimp 1.20654 3.39907e+07 4
SeqSuitorSimp 1.20584 3.39907e+07 4
SeqSuitorSimp 1.2146 3.39907e+07 4
SeqSuitorSimp 1.20649 3.39907e+07 4
SeqSuitorSimp 1.20869 3.39907e+07 4
SeqSuitorSimp 2.60215 6.66055e+07 5
SeqSuitorSimp 2.60679 6.66055e+07 5
SeqSuitorSimp 2.61486 6.66055e+07 5
SeqSuitorSimp 2.59797 6.66055e+07 5
SeqSuitorSimp 2.61145 6.66055e+07 5
SeqSuitorSimp 5.49045 1.30402e+08 6
SeqSuitorSimp 14.9413 1.30402e+08 6
SeqSuitorSimp 13.1888 1.30402e+08 6
SeqSuitorSimp 5.98007 1.30402e+08 6
SeqSuitorSimp 5.97812 1.30402e+08 6
