Algorithm Runtime Quality Threads
ParDomi 23.9086 1.77927e+08 2
ParDomi 24.6061 1.77927e+08 2
ParDomi 24.7486 1.77927e+08 2
ParDomi 24.0902 1.77927e+08 2
ParDomi 25.6348 1.77927e+08 2
ParDomi 13.0919 1.77927e+08 4
ParDomi 12.955 1.77927e+08 4
ParDomi 12.9204 1.77927e+08 4
ParDomi 13.581 1.77927e+08 4
ParDomi 13.8963 1.77927e+08 4
ParDomi 10.2747 1.77927e+08 6
ParDomi 10.1973 1.77927e+08 6
ParDomi 10.2201 1.77927e+08 6
ParDomi 10.5239 1.77927e+08 6
ParDomi 10.5692 1.77927e+08 6
ParDomi 8.06858 1.77927e+08 8
ParDomi 8.09817 1.77927e+08 8
ParDomi 8.24413 1.77927e+08 8
ParDomi 8.09253 1.77927e+08 8
ParDomi 8.35583 1.77927e+08 8
ParDomi 7.22272 1.77927e+08 10
ParDomi 7.14119 1.77927e+08 10
ParDomi 6.66563 1.77927e+08 10
ParDomi 7.88321 1.77927e+08 10
ParDomi 7.0077 1.77927e+08 10
ParDomi 6.51526 1.77927e+08 12
ParDomi 6.15161 1.77927e+08 12
ParDomi 6.45041 1.77927e+08 12
ParDomi 6.423 1.77927e+08 12
ParDomi 6.23369 1.77927e+08 12
ParDomi 5.56479 1.77927e+08 14
ParDomi 5.88065 1.77927e+08 14
ParDomi 6.21712 1.77927e+08 14
ParDomi 5.6124 1.77927e+08 14
ParDomi 5.82631 1.77927e+08 14
ParDomi 5.14858 1.77927e+08 16
ParDomi 5.42308 1.77927e+08 16
ParDomi 5.39302 1.77927e+08 16
ParDomi 5.16243 1.77927e+08 16
ParDomi 4.88891 1.77927e+08 16
ParDomi 4.86423 1.77927e+08 18
ParDomi 5.16088 1.77927e+08 18
ParDomi 4.99282 1.77927e+08 18
ParDomi 5.18988 1.77927e+08 18
ParDomi 4.81294 1.77927e+08 18
ParDomi 4.95948 1.77927e+08 20
ParDomi 5.46578 1.77927e+08 20
ParDomi 5.46556 1.77927e+08 20
ParDomi 5.10936 1.77927e+08 20
ParDomi 5.42133 1.77927e+08 20
ParDomi 4.83803 1.77927e+08 22
ParDomi 5.49454 1.77927e+08 22
ParDomi 5.13711 1.77927e+08 22
ParDomi 5.13821 1.77927e+08 22
ParDomi 5.4253 1.77927e+08 22
ParDomi 5.03862 1.77927e+08 24
ParDomi 5.5642 1.77927e+08 24
ParDomi 5.0879 1.77927e+08 24
ParDomi 5.14589 1.77927e+08 24
ParDomi 5.70386 1.77927e+08 24
ParDomi 4.95084 1.77927e+08 26
ParDomi 5.26016 1.77927e+08 26
ParDomi 4.98777 1.77927e+08 26
ParDomi 4.79058 1.77927e+08 26
ParDomi 5.46835 1.77927e+08 26
ParDomi 5.10017 1.77927e+08 28
ParDomi 5.20463 1.77927e+08 28
ParDomi 4.99587 1.77927e+08 28
ParDomi 5.24262 1.77927e+08 28
ParDomi 5.47029 1.77927e+08 28
ParDomi 5.61602 1.77927e+08 30
ParDomi 5.26243 1.77927e+08 30
ParDomi 5.27351 1.77927e+08 30
ParDomi 5.24032 1.77927e+08 30
ParDomi 5.10568 1.77927e+08 30
ParDomi 4.84853 1.77927e+08 32
ParDomi 4.76233 1.77927e+08 32
ParDomi 4.76008 1.77927e+08 32
ParDomi 4.85679 1.77927e+08 32
ParDomi 4.58558 1.77927e+08 32
