Algorithm Runtime Quality Threads
ParFreeSuitorSimp 37.1002 1.77994e+08 2
ParFreeSuitorSimp 36.9232 1.77994e+08 2
ParFreeSuitorSimp 37.9719 1.77994e+08 2
ParFreeSuitorSimp 39.5183 1.77994e+08 2
ParFreeSuitorSimp 38.179 1.77994e+08 2
ParFreeSuitorSimp 27.1981 1.77994e+08 4
ParFreeSuitorSimp 27.4303 1.77994e+08 4
ParFreeSuitorSimp 26.9069 1.77994e+08 4
ParFreeSuitorSimp 25.5214 1.77994e+08 4
ParFreeSuitorSimp 26.9198 1.77994e+08 4
ParFreeSuitorSimp 23.0599 1.77994e+08 6
ParFreeSuitorSimp 22.0439 1.77994e+08 6
ParFreeSuitorSimp 24.3135 1.77994e+08 6
ParFreeSuitorSimp 22.5721 1.77994e+08 6
ParFreeSuitorSimp 23.0359 1.77994e+08 6
ParFreeSuitorSimp 18.7994 1.77994e+08 8
ParFreeSuitorSimp 17.2207 1.77994e+08 8
ParFreeSuitorSimp 19.002 1.77994e+08 8
ParFreeSuitorSimp 18.2709 1.77994e+08 8
ParFreeSuitorSimp 18.8977 1.77994e+08 8
ParFreeSuitorSimp 16.8551 1.77994e+08 10
ParFreeSuitorSimp 18.3081 1.77994e+08 10
ParFreeSuitorSimp 17.9235 1.77994e+08 10
ParFreeSuitorSimp 18.0645 1.77994e+08 10
ParFreeSuitorSimp 17.8719 1.77994e+08 10
ParFreeSuitorSimp 16.1909 1.77994e+08 12
ParFreeSuitorSimp 15.4014 1.77994e+08 12
ParFreeSuitorSimp 16.4247 1.77994e+08 12
ParFreeSuitorSimp 16.3955 1.77994e+08 12
ParFreeSuitorSimp 15.2028 1.77994e+08 12
ParFreeSuitorSimp 14.8095 1.77994e+08 14
ParFreeSuitorSimp 14.8951 1.77994e+08 14
ParFreeSuitorSimp 14.5542 1.77994e+08 14
ParFreeSuitorSimp 15.0149 1.77994e+08 14
ParFreeSuitorSimp 14.4912 1.77994e+08 14
ParFreeSuitorSimp 12.8115 1.77994e+08 16
ParFreeSuitorSimp 13.0858 1.77994e+08 16
ParFreeSuitorSimp 14.8457 1.77994e+08 16
ParFreeSuitorSimp 12.5539 1.77994e+08 16
ParFreeSuitorSimp 12.2217 1.77994e+08 16
ParFreeSuitorSimp 12.6815 1.77994e+08 18
ParFreeSuitorSimp 12.7736 1.77994e+08 18
ParFreeSuitorSimp 12.6356 1.77994e+08 18
ParFreeSuitorSimp 12.8226 1.77994e+08 18
ParFreeSuitorSimp 12.5708 1.77994e+08 18
ParFreeSuitorSimp 10.6564 1.77994e+08 20
ParFreeSuitorSimp 11.7927 1.77994e+08 20
ParFreeSuitorSimp 12.0237 1.77994e+08 20
ParFreeSuitorSimp 11.5102 1.77994e+08 20
ParFreeSuitorSimp 11.6976 1.77994e+08 20
ParFreeSuitorSimp 11.2433 1.77994e+08 22
ParFreeSuitorSimp 11.2939 1.77994e+08 22
ParFreeSuitorSimp 11.0977 1.77994e+08 22
ParFreeSuitorSimp 11.4577 1.77994e+08 22
ParFreeSuitorSimp 11.6565 1.77994e+08 22
ParFreeSuitorSimp 10.9276 1.77994e+08 24
ParFreeSuitorSimp 10.8823 1.77994e+08 24
ParFreeSuitorSimp 10.785 1.77994e+08 24
ParFreeSuitorSimp 10.4318 1.77994e+08 24
ParFreeSuitorSimp 10.3475 1.77994e+08 24
ParFreeSuitorSimp 10.1165 1.77994e+08 26
ParFreeSuitorSimp 10.2011 1.77994e+08 26
ParFreeSuitorSimp 10.0171 1.77994e+08 26
ParFreeSuitorSimp 10.1729 1.77994e+08 26
ParFreeSuitorSimp 10.7604 1.77994e+08 26
ParFreeSuitorSimp 9.85411 1.77994e+08 28
ParFreeSuitorSimp 9.94314 1.77994e+08 28
ParFreeSuitorSimp 9.42504 1.77994e+08 28
ParFreeSuitorSimp 9.97619 1.77994e+08 28
ParFreeSuitorSimp 9.96355 1.77994e+08 28
ParFreeSuitorSimp 9.68874 1.77994e+08 30
ParFreeSuitorSimp 9.56513 1.77994e+08 30
ParFreeSuitorSimp 9.28774 1.77994e+08 30
ParFreeSuitorSimp 9.2213 1.77994e+08 30
ParFreeSuitorSimp 9.77298 1.77994e+08 30
ParFreeSuitorSimp 9.00052 1.77994e+08 32
ParFreeSuitorSimp 8.02768 1.77994e+08 32
ParFreeSuitorSimp 8.05996 1.77994e+08 32
ParFreeSuitorSimp 8.43839 1.77994e+08 32
ParFreeSuitorSimp 7.80422 1.77994e+08 32
