Algorithm Runtime Quality Threads
ParFreeSuitorSimp 14.9642 1.77984e+08 2
ParFreeSuitorSimp 17.2871 1.77984e+08 2
ParFreeSuitorSimp 16.187 1.77984e+08 2
ParFreeSuitorSimp 17.5355 1.77984e+08 2
ParFreeSuitorSimp 16.088 1.77984e+08 2
ParFreeSuitorSimp 11.7146 1.77984e+08 4
ParFreeSuitorSimp 10.696 1.77984e+08 4
ParFreeSuitorSimp 9.91472 1.77984e+08 4
ParFreeSuitorSimp 11.0067 1.77984e+08 4
ParFreeSuitorSimp 10.978 1.77984e+08 4
ParFreeSuitorSimp 9.41417 1.77984e+08 6
ParFreeSuitorSimp 9.52438 1.77984e+08 6
ParFreeSuitorSimp 9.37802 1.77984e+08 6
ParFreeSuitorSimp 9.21702 1.77984e+08 6
ParFreeSuitorSimp 9.20495 1.77984e+08 6
ParFreeSuitorSimp 7.97316 1.77984e+08 8
ParFreeSuitorSimp 6.73414 1.77984e+08 8
ParFreeSuitorSimp 7.23209 1.77984e+08 8
ParFreeSuitorSimp 7.77497 1.77984e+08 8
ParFreeSuitorSimp 6.88745 1.77984e+08 8
ParFreeSuitorSimp 6.26651 1.77984e+08 10
ParFreeSuitorSimp 6.20064 1.77984e+08 10
ParFreeSuitorSimp 6.39238 1.77984e+08 10
ParFreeSuitorSimp 6.13803 1.77984e+08 10
ParFreeSuitorSimp 6.33705 1.77984e+08 10
ParFreeSuitorSimp 6.72487 1.77984e+08 12
ParFreeSuitorSimp 5.23112 1.77984e+08 12
ParFreeSuitorSimp 6.61131 1.77984e+08 12
ParFreeSuitorSimp 4.87756 1.77984e+08 12
ParFreeSuitorSimp 6.73923 1.77984e+08 12
ParFreeSuitorSimp 4.60299 1.77984e+08 14
ParFreeSuitorSimp 6.03466 1.77984e+08 14
ParFreeSuitorSimp 4.50998 1.77984e+08 14
ParFreeSuitorSimp 5.99172 1.77984e+08 14
ParFreeSuitorSimp 4.69302 1.77984e+08 14
ParFreeSuitorSimp 4.74278 1.77984e+08 16
ParFreeSuitorSimp 4.26402 1.77984e+08 16
ParFreeSuitorSimp 4.14804 1.77984e+08 16
ParFreeSuitorSimp 5.01888 1.77984e+08 16
ParFreeSuitorSimp 3.94433 1.77984e+08 16
ParFreeSuitorSimp 3.86941 1.77984e+08 18
ParFreeSuitorSimp 4.97799 1.77984e+08 18
ParFreeSuitorSimp 3.68948 1.77984e+08 18
ParFreeSuitorSimp 4.25715 1.77984e+08 18
ParFreeSuitorSimp 4.61975 1.77984e+08 18
ParFreeSuitorSimp 3.37506 1.77984e+08 20
ParFreeSuitorSimp 3.67534 1.77984e+08 20
ParFreeSuitorSimp 4.75229 1.77984e+08 20
ParFreeSuitorSimp 3.5982 1.77984e+08 20
ParFreeSuitorSimp 3.61268 1.77984e+08 20
ParFreeSuitorSimp 4.23178 1.77984e+08 22
ParFreeSuitorSimp 3.51841 1.77984e+08 22
ParFreeSuitorSimp 3.39956 1.77984e+08 22
ParFreeSuitorSimp 3.83079 1.77984e+08 22
ParFreeSuitorSimp 4.02115 1.77984e+08 22
ParFreeSuitorSimp 3.05692 1.77984e+08 24
ParFreeSuitorSimp 3.26692 1.77984e+08 24
ParFreeSuitorSimp 3.50653 1.77984e+08 24
ParFreeSuitorSimp 3.57165 1.77984e+08 24
ParFreeSuitorSimp 3.52834 1.77984e+08 24
ParFreeSuitorSimp 2.94235 1.77984e+08 26
ParFreeSuitorSimp 3.22147 1.77984e+08 26
ParFreeSuitorSimp 3.02211 1.77984e+08 26
ParFreeSuitorSimp 3.21328 1.77984e+08 26
ParFreeSuitorSimp 3.68032 1.77984e+08 26
ParFreeSuitorSimp 2.8426 1.77984e+08 28
ParFreeSuitorSimp 2.84409 1.77984e+08 28
ParFreeSuitorSimp 3.35839 1.77984e+08 28
ParFreeSuitorSimp 2.93008 1.77984e+08 28
ParFreeSuitorSimp 3.01762 1.77984e+08 28
ParFreeSuitorSimp 2.65382 1.77984e+08 30
ParFreeSuitorSimp 2.73545 1.77984e+08 30
ParFreeSuitorSimp 2.67696 1.77984e+08 30
ParFreeSuitorSimp 2.82335 1.77984e+08 30
ParFreeSuitorSimp 3.34488 1.77984e+08 30
ParFreeSuitorSimp 2.79516 1.77984e+08 32
ParFreeSuitorSimp 2.50796 1.77984e+08 32
ParFreeSuitorSimp 2.50127 1.77984e+08 32
ParFreeSuitorSimp 2.64611 1.77984e+08 32
ParFreeSuitorSimp 2.65529 1.77984e+08 32
