Algorithm Runtime Quality Threads
ParSuitorSimp 7.05652 1.77952e+08 2
ParSuitorSimp 7.91801 1.77952e+08 2
ParSuitorSimp 7.22707 1.77952e+08 2
ParSuitorSimp 7.62069 1.77952e+08 2
ParSuitorSimp 7.42029 1.77952e+08 2
ParSuitorSimp 4.15075 1.77952e+08 4
ParSuitorSimp 4.81978 1.77952e+08 4
ParSuitorSimp 4.34902 1.77952e+08 4
ParSuitorSimp 4.84685 1.77952e+08 4
ParSuitorSimp 4.71381 1.77952e+08 4
ParSuitorSimp 4.20516 1.77952e+08 6
ParSuitorSimp 3.5502 1.77952e+08 6
ParSuitorSimp 3.98254 1.77952e+08 6
ParSuitorSimp 4.00405 1.77952e+08 6
ParSuitorSimp 3.49582 1.77952e+08 6
ParSuitorSimp 3.20471 1.77952e+08 8
ParSuitorSimp 2.35774 1.77952e+08 8
ParSuitorSimp 2.94163 1.77952e+08 8
ParSuitorSimp 2.6872 1.77952e+08 8
ParSuitorSimp 3.23761 1.77952e+08 8
ParSuitorSimp 2.36891 1.77952e+08 10
ParSuitorSimp 2.58017 1.77952e+08 10
ParSuitorSimp 2.39179 1.77952e+08 10
ParSuitorSimp 2.9471 1.77952e+08 10
ParSuitorSimp 2.31326 1.77952e+08 10
ParSuitorSimp 2.46158 1.77952e+08 12
ParSuitorSimp 2.69936 1.77952e+08 12
ParSuitorSimp 2.69566 1.77952e+08 12
ParSuitorSimp 2.09658 1.77952e+08 12
ParSuitorSimp 2.28257 1.77952e+08 12
ParSuitorSimp 2.41474 1.77952e+08 14
ParSuitorSimp 2.08397 1.77952e+08 14
ParSuitorSimp 2.23567 1.77952e+08 14
ParSuitorSimp 1.96763 1.77952e+08 14
ParSuitorSimp 2.0344 1.77952e+08 14
ParSuitorSimp 1.84684 1.77952e+08 16
ParSuitorSimp 1.84564 1.77952e+08 16
ParSuitorSimp 1.90466 1.77952e+08 16
ParSuitorSimp 2.06579 1.77952e+08 16
ParSuitorSimp 1.71753 1.77952e+08 16
ParSuitorSimp 1.40646 1.77952e+08 18
ParSuitorSimp 1.47415 1.77952e+08 18
ParSuitorSimp 1.55966 1.77952e+08 18
ParSuitorSimp 1.69711 1.77952e+08 18
ParSuitorSimp 1.83434 1.77952e+08 18
ParSuitorSimp 1.6159 1.77952e+08 20
ParSuitorSimp 1.38786 1.77952e+08 20
ParSuitorSimp 1.71531 1.77952e+08 20
ParSuitorSimp 1.63448 1.77952e+08 20
ParSuitorSimp 1.57687 1.77952e+08 20
ParSuitorSimp 1.53003 1.77952e+08 22
ParSuitorSimp 1.42232 1.77952e+08 22
ParSuitorSimp 1.6008 1.77952e+08 22
ParSuitorSimp 1.18552 1.77952e+08 22
ParSuitorSimp 1.53273 1.77952e+08 22
ParSuitorSimp 1.51456 1.77952e+08 24
ParSuitorSimp 1.77203 1.77952e+08 24
ParSuitorSimp 1.2744 1.77952e+08 24
ParSuitorSimp 1.45447 1.77952e+08 24
ParSuitorSimp 1.28946 1.77952e+08 24
ParSuitorSimp 1.34298 1.77952e+08 26
ParSuitorSimp 1.76967 1.77952e+08 26
ParSuitorSimp 1.30837 1.77952e+08 26
ParSuitorSimp 1.17 1.77952e+08 26
ParSuitorSimp 1.34344 1.77952e+08 26
ParSuitorSimp 1.18985 1.77952e+08 28
ParSuitorSimp 1.2891 1.77952e+08 28
ParSuitorSimp 1.14855 1.77952e+08 28
ParSuitorSimp 1.22256 1.77952e+08 28
ParSuitorSimp 1.04019 1.77952e+08 28
ParSuitorSimp 1.26206 1.77952e+08 30
ParSuitorSimp 1.1788 1.77952e+08 30
ParSuitorSimp 1.21044 1.77952e+08 30
ParSuitorSimp 1.13429 1.77952e+08 30
ParSuitorSimp 1.1312 1.77952e+08 30
ParSuitorSimp 1.01124 1.77952e+08 32
ParSuitorSimp 1.01914 1.77952e+08 32
ParSuitorSimp 1.17825 1.77952e+08 32
ParSuitorSimp 1.15785 1.77952e+08 32
ParSuitorSimp 1.27251 1.77952e+08 32
