Algorithm Runtime Quality Threads
ParDomi 0.0640908 2.45199e+06 2
ParDomi 0.0611363 2.45199e+06 2
ParDomi 0.058948 2.45199e+06 2
ParDomi 0.0654797 2.45199e+06 2
ParDomi 0.0644658 2.45199e+06 2
ParDomi 0.0484696 2.45199e+06 4
ParDomi 0.041739 2.45199e+06 4
ParDomi 0.0429161 2.45192e+06 4
ParDomi 0.0413574 2.45199e+06 4
ParDomi 0.0485455 2.45199e+06 4
ParDomi 0.0408795 2.45199e+06 6
ParDomi 0.0495995 2.45199e+06 6
ParDomi 0.0384107 2.45199e+06 6
ParDomi 0.049877 2.45199e+06 6
ParDomi 0.0477008 2.45199e+06 6
ParDomi 0.0352483 2.45199e+06 8
ParDomi 0.0482064 2.45199e+06 8
ParDomi 0.0456937 2.45199e+06 8
ParDomi 0.0463448 2.45199e+06 8
ParDomi 0.0336325 2.45199e+06 8
ParDomi 0.0479373 2.45199e+06 10
ParDomi 0.0520846 2.45199e+06 10
ParDomi 0.0499724 2.45199e+06 10
ParDomi 0.0381201 2.45199e+06 10
ParDomi 0.0526387 2.45199e+06 10
ParDomi 0.0430772 2.45199e+06 12
ParDomi 0.0509316 2.45188e+06 12
ParDomi 0.049287 2.45199e+06 12
ParDomi 0.049874 2.45199e+06 12
ParDomi 0.0556494 2.45199e+06 12
ParDomi 0.0544991 2.45199e+06 14
ParDomi 0.0553723 2.45199e+06 14
ParDomi 0.0530224 2.45199e+06 14
ParDomi 0.0537931 2.45199e+06 14
ParDomi 0.0450543 2.45199e+06 14
ParDomi 0.054066 2.45199e+06 16
ParDomi 0.0554937 2.45199e+06 16
ParDomi 0.0536837 2.45199e+06 16
ParDomi 0.0519833 2.45199e+06 16
ParDomi 0.0596357 2.45199e+06 16
ParDomi 0.047098 2.45199e+06 18
ParDomi 0.0448387 2.45199e+06 18
ParDomi 0.0556573 2.45199e+06 18
ParDomi 0.0448801 2.45199e+06 18
ParDomi 0.0464838 2.45199e+06 18
ParDomi 0.0640514 2.45193e+06 20
ParDomi 0.0535135 2.45199e+06 20
ParDomi 0.0533967 2.45199e+06 20
ParDomi 0.051521 2.45199e+06 20
ParDomi 0.0588707 2.45199e+06 20
ParDomi 0.0604463 2.45199e+06 22
ParDomi 0.0560327 2.45199e+06 22
ParDomi 0.0627298 2.45199e+06 22
ParDomi 0.0594186 2.45199e+06 22
ParDomi 0.0624939 2.45199e+06 22
ParDomi 0.0642503 2.45199e+06 24
ParDomi 0.0605756 2.45199e+06 24
ParDomi 0.0654168 2.45199e+06 24
ParDomi 0.0597425 2.45199e+06 24
ParDomi 0.06297 2.45199e+06 24
ParDomi 0.060522 2.45199e+06 26
ParDomi 0.0626685 2.45199e+06 26
ParDomi 0.0696139 2.45199e+06 26
ParDomi 0.0686987 2.45193e+06 26
ParDomi 0.0688708 2.45199e+06 26
ParDomi 0.0645006 2.45199e+06 28
ParDomi 0.0634106 2.45199e+06 28
ParDomi 0.0704565 2.4519e+06 28
ParDomi 0.0594309 2.45199e+06 28
ParDomi 0.0637695 2.45199e+06 28
ParDomi 0.0740692 2.45199e+06 30
ParDomi 0.0713691 2.45199e+06 30
ParDomi 0.0712767 2.45199e+06 30
ParDomi 0.0709806 2.45199e+06 30
ParDomi 0.066394 2.45199e+06 30
ParDomi 0.0726435 2.45199e+06 32
ParDomi 0.0724416 2.45199e+06 32
ParDomi 0.0732611 2.45199e+06 32
ParDomi 0.0621585 2.45199e+06 32
ParDomi 0.0695493 2.45199e+06 32
