Algorithm Runtime Quality Threads
ParFreeSuitorSimp 0.0329342 2.45199e+06 2
ParFreeSuitorSimp 0.0279084 2.45199e+06 2
ParFreeSuitorSimp 0.0274067 2.45199e+06 2
ParFreeSuitorSimp 0.0276171 2.45199e+06 2
ParFreeSuitorSimp 0.0285927 2.45199e+06 2
ParFreeSuitorSimp 0.020327 2.45199e+06 4
ParFreeSuitorSimp 0.0196937 2.45199e+06 4
ParFreeSuitorSimp 0.0190721 2.45199e+06 4
ParFreeSuitorSimp 0.0190751 2.45199e+06 4
ParFreeSuitorSimp 0.0191023 2.45199e+06 4
ParFreeSuitorSimp 0.0195509 2.45199e+06 6
ParFreeSuitorSimp 0.0184895 2.45199e+06 6
ParFreeSuitorSimp 0.0188753 2.45199e+06 6
ParFreeSuitorSimp 0.0186473 2.45199e+06 6
ParFreeSuitorSimp 0.0165827 2.45199e+06 6
ParFreeSuitorSimp 0.0126896 2.45199e+06 8
ParFreeSuitorSimp 0.0127103 2.45199e+06 8
ParFreeSuitorSimp 0.0132428 2.45199e+06 8
ParFreeSuitorSimp 0.014338 2.45199e+06 8
ParFreeSuitorSimp 0.0147166 2.45199e+06 8
ParFreeSuitorSimp 0.0118229 2.45199e+06 10
ParFreeSuitorSimp 0.0131994 2.45199e+06 10
ParFreeSuitorSimp 0.0114793 2.45199e+06 10
ParFreeSuitorSimp 0.0114377 2.45199e+06 10
ParFreeSuitorSimp 0.0140629 2.45199e+06 10
ParFreeSuitorSimp 0.00968572 2.45199e+06 12
ParFreeSuitorSimp 0.00972593 2.45199e+06 12
ParFreeSuitorSimp 0.00926092 2.45199e+06 12
ParFreeSuitorSimp 0.0100455 2.45199e+06 12
ParFreeSuitorSimp 0.00997094 2.45199e+06 12
ParFreeSuitorSimp 0.0101057 2.45199e+06 14
ParFreeSuitorSimp 0.0105081 2.45199e+06 14
ParFreeSuitorSimp 0.00961124 2.45199e+06 14
ParFreeSuitorSimp 0.0103388 2.45199e+06 14
ParFreeSuitorSimp 0.0109329 2.45199e+06 14
ParFreeSuitorSimp 0.00824977 2.45199e+06 16
ParFreeSuitorSimp 0.00944117 2.45199e+06 16
ParFreeSuitorSimp 0.00906949 2.45199e+06 16
ParFreeSuitorSimp 0.00865205 2.45199e+06 16
ParFreeSuitorSimp 0.00985286 2.45199e+06 16
ParFreeSuitorSimp 0.00902625 2.45199e+06 18
ParFreeSuitorSimp 0.00813396 2.45199e+06 18
ParFreeSuitorSimp 0.00870166 2.45199e+06 18
ParFreeSuitorSimp 0.00855858 2.45199e+06 18
ParFreeSuitorSimp 0.00780723 2.45199e+06 18
ParFreeSuitorSimp 0.0079636 2.45199e+06 20
ParFreeSuitorSimp 0.00755721 2.45199e+06 20
ParFreeSuitorSimp 0.00802695 2.45199e+06 20
ParFreeSuitorSimp 0.00733516 2.45199e+06 20
ParFreeSuitorSimp 0.00812903 2.45199e+06 20
ParFreeSuitorSimp 0.0063306 2.45199e+06 22
ParFreeSuitorSimp 0.0064896 2.45199e+06 22
ParFreeSuitorSimp 0.00762857 2.45199e+06 22
ParFreeSuitorSimp 0.00797331 2.45199e+06 22
ParFreeSuitorSimp 0.00797881 2.45199e+06 22
ParFreeSuitorSimp 0.00731325 2.45199e+06 24
ParFreeSuitorSimp 0.00738494 2.45199e+06 24
ParFreeSuitorSimp 0.00720912 2.45199e+06 24
ParFreeSuitorSimp 0.00756509 2.45199e+06 24
ParFreeSuitorSimp 0.00758178 2.45199e+06 24
ParFreeSuitorSimp 0.00695954 2.45199e+06 26
ParFreeSuitorSimp 0.00524591 2.45199e+06 26
ParFreeSuitorSimp 0.00623782 2.45199e+06 26
ParFreeSuitorSimp 0.00535717 2.45199e+06 26
ParFreeSuitorSimp 0.00660587 2.45199e+06 26
ParFreeSuitorSimp 0.00644125 2.45199e+06 28
ParFreeSuitorSimp 0.0063279 2.45199e+06 28
ParFreeSuitorSimp 0.00636796 2.45199e+06 28
ParFreeSuitorSimp 0.00684171 2.45199e+06 28
ParFreeSuitorSimp 0.00675777 2.45199e+06 28
ParFreeSuitorSimp 0.00633061 2.45199e+06 30
ParFreeSuitorSimp 0.00602998 2.45199e+06 30
ParFreeSuitorSimp 0.00603239 2.45199e+06 30
ParFreeSuitorSimp 0.00605143 2.45199e+06 30
ParFreeSuitorSimp 0.00600971 2.45199e+06 30
ParFreeSuitorSimp 0.00549102 2.45199e+06 32
ParFreeSuitorSimp 0.00551804 2.45199e+06 32
ParFreeSuitorSimp 0.00511947 2.45199e+06 32
ParFreeSuitorSimp 0.00522626 2.45199e+06 32
ParFreeSuitorSimp 0.00517203 2.45199e+06 32
