Algorithm Runtime Quality Threads
ParSuitorSimp 0.0333798 2.45199e+06 2
ParSuitorSimp 0.0345237 2.45199e+06 2
ParSuitorSimp 0.0298803 2.45199e+06 2
ParSuitorSimp 0.0343189 2.45199e+06 2
ParSuitorSimp 0.0352387 2.45199e+06 2
ParSuitorImp 24.3042 2.55695e+06 2
ParSuitorImp 24.1906 2.55695e+06 2
ParSuitorImp 24.1661 2.55695e+06 2
ParSuitorImp 24.1624 2.55695e+06 2
ParSuitorImp 24.1629 2.55695e+06 2
ParSuitorSimp 0.0236694 2.45199e+06 4
ParSuitorSimp 0.0214374 2.45199e+06 4
ParSuitorSimp 0.0196925 2.45199e+06 4
ParSuitorSimp 0.0225776 2.45199e+06 4
ParSuitorSimp 0.0222083 2.45199e+06 4
ParSuitorImp 18.1423 2.55695e+06 4
ParSuitorImp 17.1433 2.55695e+06 4
ParSuitorImp 15.5992 2.55695e+06 4
ParSuitorImp 17.5599 2.55695e+06 4
ParSuitorImp 17.912 2.55695e+06 4
ParSuitorSimp 0.0203569 2.45199e+06 6
ParSuitorSimp 0.0166356 2.45199e+06 6
ParSuitorSimp 0.0145154 2.45199e+06 6
ParSuitorSimp 0.0141745 2.45199e+06 6
ParSuitorSimp 0.0161803 2.45199e+06 6
ParSuitorImp 13.6276 2.55695e+06 6
ParSuitorImp 13.6776 2.55695e+06 6
ParSuitorImp 14.5087 2.55695e+06 6
ParSuitorImp 13.6601 2.55695e+06 6
ParSuitorImp 14.1757 2.55695e+06 6
ParSuitorSimp 0.0167456 2.45199e+06 8
ParSuitorSimp 0.0143866 2.45199e+06 8
ParSuitorSimp 0.0117018 2.45199e+06 8
ParSuitorSimp 0.0122751 2.45199e+06 8
ParSuitorSimp 0.0127899 2.45199e+06 8
ParSuitorImp 10.8104 2.55695e+06 8
ParSuitorImp 11.8873 2.55695e+06 8
ParSuitorImp 11.8413 2.55695e+06 8
ParSuitorImp 11.8462 2.55695e+06 8
ParSuitorImp 11.1721 2.55695e+06 8
ParSuitorSimp 0.0153157 2.45199e+06 10
ParSuitorSimp 0.0128299 2.45199e+06 10
ParSuitorSimp 0.0109696 2.45199e+06 10
ParSuitorSimp 0.0105536 2.45199e+06 10
ParSuitorSimp 0.012035 2.45199e+06 10
ParSuitorImp 10.0467 2.55695e+06 10
ParSuitorImp 10.0088 2.55695e+06 10
ParSuitorImp 9.9347 2.55695e+06 10
ParSuitorImp 10.1364 2.55695e+06 10
ParSuitorImp 11.0231 2.55695e+06 10
ParSuitorSimp 0.0139724 2.45199e+06 12
ParSuitorSimp 0.00991007 2.45199e+06 12
ParSuitorSimp 0.0113572 2.45199e+06 12
ParSuitorSimp 0.00814076 2.45199e+06 12
ParSuitorSimp 0.00792867 2.45199e+06 12
ParSuitorImp 8.21955 2.55695e+06 12
ParSuitorImp 8.82173 2.55695e+06 12
ParSuitorImp 8.55349 2.55695e+06 12
ParSuitorImp 9.16426 2.55695e+06 12
ParSuitorImp 8.92327 2.55695e+06 12
ParSuitorSimp 0.0106311 2.45199e+06 14
ParSuitorSimp 0.00970239 2.45199e+06 14
ParSuitorSimp 0.00920552 2.45199e+06 14
ParSuitorSimp 0.00736511 2.45199e+06 14
ParSuitorSimp 0.00888635 2.45199e+06 14
ParSuitorImp 7.60345 2.55695e+06 14
ParSuitorImp 7.68334 2.55695e+06 14
ParSuitorImp 8.10279 2.55695e+06 14
ParSuitorImp 8.12408 2.55695e+06 14
ParSuitorImp 7.80065 2.55695e+06 14
ParSuitorSimp 0.0102792 2.45199e+06 16
ParSuitorSimp 0.008582 2.45199e+06 16
ParSuitorSimp 0.00811342 2.45199e+06 16
ParSuitorSimp 0.00819322 2.45199e+06 16
ParSuitorSimp 0.00679862 2.45199e+06 16
ParSuitorImp 7.08872 2.55695e+06 16
ParSuitorImp 7.11268 2.55695e+06 16
ParSuitorImp 7.00386 2.55695e+06 16
ParSuitorImp 7.99102 2.55695e+06 16
ParSuitorImp 7.0185 2.55695e+06 16
ParSuitorSimp 0.0102539 2.45199e+06 18
ParSuitorSimp 0.0050938 2.45199e+06 18
ParSuitorSimp 0.00690175 2.45199e+06 18
ParSuitorSimp 0.00661392 2.45199e+06 18
ParSuitorSimp 0.00695989 2.45199e+06 18
ParSuitorImp 6.59576 2.55695e+06 18
ParSuitorImp 7.43931 2.55695e+06 18
ParSuitorImp 6.73244 2.55695e+06 18
ParSuitorImp 7.11826 2.55695e+06 18
ParSuitorImp 6.98359 2.55695e+06 18
ParSuitorSimp 0.00960981 2.45199e+06 20
ParSuitorSimp 0.00537764 2.45199e+06 20
ParSuitorSimp 0.00726494 2.45199e+06 20
ParSuitorSimp 0.00654706 2.45199e+06 20
ParSuitorSimp 0.00663107 2.45199e+06 20
ParSuitorImp 6.25746 2.55695e+06 20
ParSuitorImp 7.14696 2.55695e+06 20
ParSuitorImp 7.00193 2.55695e+06 20
ParSuitorImp 6.24487 2.55695e+06 20
ParSuitorImp 7.24687 2.55695e+06 20
ParSuitorSimp 0.00890665 2.45199e+06 22
ParSuitorSimp 0.00561726 2.45199e+06 22
ParSuitorSimp 0.00687721 2.45199e+06 22
ParSuitorSimp 0.0069642 2.45199e+06 22
ParSuitorSimp 0.00717709 2.45199e+06 22
ParSuitorImp 6.63862 2.55695e+06 22
ParSuitorImp 6.35771 2.55695e+06 22
ParSuitorImp 6.10564 2.55695e+06 22
ParSuitorImp 7.63804 2.55695e+06 22
ParSuitorImp 6.27509 2.55695e+06 22
ParSuitorSimp 0.00890621 2.45199e+06 24
ParSuitorSimp 0.00506219 2.45199e+06 24
ParSuitorSimp 0.00596787 2.45199e+06 24
ParSuitorSimp 0.00627214 2.45199e+06 24
ParSuitorSimp 0.00644196 2.45199e+06 24
ParSuitorImp 5.52589 2.55695e+06 24
ParSuitorImp 6.24716 2.55695e+06 24
ParSuitorImp 5.89113 2.55695e+06 24
ParSuitorImp 5.81387 2.55695e+06 24
ParSuitorImp 7.0412 2.55695e+06 24
ParSuitorSimp 0.00777733 2.45199e+06 26
ParSuitorSimp 0.0061596 2.45199e+06 26
ParSuitorSimp 0.0059448 2.45199e+06 26
ParSuitorSimp 0.00600901 2.45199e+06 26
ParSuitorSimp 0.00599683 2.45199e+06 26
ParSuitorImp 6.29304 2.55695e+06 26
ParSuitorImp 5.81072 2.55695e+06 26
ParSuitorImp 7.2532 2.55695e+06 26
ParSuitorImp 5.45081 2.55695e+06 26
ParSuitorImp 5.77632 2.55695e+06 26
ParSuitorSimp 0.00739912 2.45199e+06 28
ParSuitorSimp 0.00513091 2.45199e+06 28
ParSuitorSimp 0.00564487 2.45199e+06 28
ParSuitorSimp 0.00552063 2.45199e+06 28
ParSuitorSimp 0.00595812 2.45199e+06 28
ParSuitorImp 6.93224 2.55695e+06 28
ParSuitorImp 5.39603 2.55695e+06 28
ParSuitorImp 5.39924 2.55695e+06 28
ParSuitorImp 5.79153 2.55695e+06 28
ParSuitorImp 5.86092 2.55695e+06 28
ParSuitorSimp 0.00748018 2.45199e+06 30
ParSuitorSimp 0.00465949 2.45199e+06 30
ParSuitorSimp 0.00516652 2.45199e+06 30
ParSuitorSimp 0.0052665 2.45199e+06 30
ParSuitorSimp 0.00519398 2.45199e+06 30
ParSuitorImp 6.8306 2.55695e+06 30
ParSuitorImp 6.27325 2.55695e+06 30
ParSuitorImp 5.40871 2.55695e+06 30
ParSuitorImp 6.71154 2.55695e+06 30
ParSuitorImp 6.57438 2.55695e+06 30
ParSuitorSimp 0.00631628 2.45199e+06 32
ParSuitorSimp 0.00485234 2.45199e+06 32
ParSuitorSimp 0.00500183 2.45199e+06 32
ParSuitorSimp 0.00464917 2.45199e+06 32
ParSuitorSimp 0.00474824 2.45199e+06 32
ParSuitorImp 5.67595 2.55695e+06 32
ParSuitorImp 6.93533 2.55695e+06 32
ParSuitorImp 5.36224 2.55695e+06 32
ParSuitorImp 5.4217 2.55695e+06 32
ParSuitorImp 5.30726 2.55695e+06 32
